Entry	Entry name	Gene names
P22523	MUKB_ECOLI	mukB b0924 JW0907
P0AEB2	DACA_ECOLI	dacA pfv b0632 JW0627
P76552	EUTH_ECOLI	eutH yffU b2452 JW2436
P15038	HELD_ECOLI	helD b0962 JW0945
P09551	ARGT_ECOLI	argT b2310 JW2307
P0A6L0	DEOC_ECOLI	deoC dra thyR b4381 JW4344
P0ABT8	YIJE_ECOLI	yijE b3943 JW5557
P76177	YDGH_ECOLI	ydgH b1604 JW1596
P76093	YNBD_ECOLI	ynbD b1411 JW1408
P0A9R7	FTSE_ECOLI	ftsE b3463 JW3428
P77239	CUSB_ECOLI	cusB ylcD b0574 JW0563
P31547	METI_ECOLI	metI yaeE b0198 JW0194
P76206	YDIY_ECOLI	ydiY b1722 JW1711
P0AAJ8	HYBA_ECOLI	hybA b2996 JW2964
P0ACA3	SSPA_ECOLI	sspA pog ssp b3229 JW3198
P0AG14	SOHB_ECOLI	sohB b1272 JW1264
P33030	YEIR_ECOLI	yeiR b2173 JW2161
P37325	YBCH_ECOLI	ybcH b0567 JW0556
P0AAJ5	FDOH_ECOLI	fdoH b3893 JW3864
P0AE08	AHPC_ECOLI	ahpC b0605 JW0598
P29131	FTSN_ECOLI	ftsN msgA b3933 JW3904
P0ABB0	ATPA_ECOLI	atpA papA uncA b3734 JW3712
P0A9V1	LPTB_ECOLI	lptB yhbG b3201 JW3168
P0AC41	SDHA_ECOLI	sdhA b0723 JW0713
P0AGE4	SSTT_ECOLI	sstT ygjU b3089 JW3060
P0ACB4	HEMG_ECOLI	hemG yihB b3850 JW3827
P24205	LPXM_ECOLI	lpxM msbB b1855 JW1844
P62707	GPMA_ECOLI	gpmA gpm pgm pgmA b0755 JW0738
P09169	OMPT_ECOLI	ompT b0565 JW0554
P46133	ABGT_ECOLI	abgT ydaH b1336 JW5822 ECK1332
P36659	CBPA_ECOLI	cbpA b1000 JW0985
P75823	LTAE_ECOLI	ltaE ybjU b0870 JW0854
P0AED0	USPA_ECOLI	uspA b3495 JW3462
P0ACG1	STPA_ECOLI	stpA hnsB b2669 JW2644
P21865	KDPD_ECOLI	kdpD b0695 JW0683
P77339	YAFT_ECOLI	yafT b0217 JW0206
P0AFS7	YDIK_ECOLI	ydiK b1688 JW1678
P0A9C0	GLPA_ECOLI	glpA b2241 JW2235
P0AEX3	KGTP_ECOLI	kgtP witA b2587 JW2571
P77716	YCJP_ECOLI	ycjP b1312 JW1305
P37617	ZNTA_ECOLI	zntA yhhO b3469 JW3434
P23305	YIGA_ECOLI	yigA b3810 JW3783
P46837	YHGF_ECOLI	yhgF b3407 JW3370
P0AF28	NARL_ECOLI	narL frdR b1221 JW1212
P0A935	MLTA_ECOLI	mltA mlt ygdM b2813 JW2784
P0A6Q3	FABA_ECOLI	fabA b0954 JW0937
P0A9C3	GALM_ECOLI	galM b0756 JW0739
P39836	YFEH_ECOLI	yfeH b2410 JW5876
P0AFZ3	SSPB_ECOLI	sspB b3228 JW3197
P0AFY2	SANA_ECOLI	sanA yeiF b2144 JW2132
P37194	SLP_ECOLI	slp b3506 JW3474
P0AAC0	USPE_ECOLI	uspE ydaA b1333 JW1327
P0AEZ9	MOAB_ECOLI	moaB chlA2 b0782 JW0765
P23910	ARAJ_ECOLI	araJ b0396 JW0386
P39187	YTFJ_ECOLI	ytfJ b4216 JW4175
P24207	PHEP_ECOLI	pheP b0576 JW0565
P10905	UGPA_ECOLI	ugpA b3452 JW3417
P0AB85	APBE_ECOLI	apbE yojK yojL b2214 JW5368
P0AA76	DGOT_ECOLI	dgoT yidT b3691 JW5859
P0AE22	APHA_ECOLI	aphA napA yjbP b4055 JW4015
P77171	YDCI_ECOLI	ydcI b1422 JW5226
P0A9K7	PHOU_ECOLI	phoU nmpA b3724 JW3702
P0ABI4	CORA_ECOLI	corA b3816 JW3789
P0AAI1	SSUB_ECOLI	ssuB ycbE b0933 JW0916
P0A853	TNAA_ECOLI	tnaA ind b3708 JW3686
P27128	RFAI_ECOLI	rfaI waaI b3627 JW3602
